                    100        250         500         750          1000
native_sort     0.000000   0.000000    0.000000    0.000000     0.999928
bubble_sort     3.001213  16.999483   61.000347  108.993292   232.003212
selection_sort  1.000166   5.998611   29.002190   53.003550    97.993374
insertion_sort  0.000000   8.999825   42.995930   92.991590   149.002790
cocktail_sort   3.007174  10.003090   65.998554  117.996693   216.002703
shell_sort      5.989075  62.006950  328.010082  843.078852  1387.598991
merge_sort      2.003193   3.994226    6.992102    7.571936    10.001183
quick_sort      0.000000   0.999451    5.002022    4.973888     5.998611
heap_sort       2.000809   3.997087   10.001183   10.000944    20.014524
counting_sort   5.997181   7.000446    7.996798    5.999327     9.988070
radix_sort      0.000000   1.001120    4.001379    3.998995     6.998777
bucket_sort     0.000000   1.999378    0.999451    2.000332     2.002716
